Model,Cohort,C-index,C-std
LightGBM Survival,CN->Decline,0.7659,0.0000
DeepSurv,CN->Decline,0.7424,0.0000
Weighted Ensemble,MCI->Dementia,0.9393,0.0000
Domain Ensemble,MCI->Dementia,0.9393,0.0000
LightGBM Survival,MCI->Dementia,0.8977,0.0000
DeepSurv,MCI->Dementia,0.8587,0.0000
