Model,Cohort,C-index,C-std
DeepSurv,CN->Decline,0.5316,0.0000
Weighted Ensemble,CN->Decline,0.5316,0.0000
GBSA,CN->Decline,0.4523,0.0000
CoxPH,MCI->Dementia,0.7833,0.0000
Weighted Ensemble,MCI->Dementia,0.7831,0.0000
DeepSurv,MCI->Dementia,0.7696,0.0000
GBSA,MCI->Dementia,0.7687,0.0000
AFT,MCI->Dementia,0.7512,0.0000
